"filename","barcode","image_order","mime_type"
"12800-00001-000008-070.tif","8164092290","","image/tiff"
"12800-00001-000008-080.tif","6164092307","","image/tiff"
"12800-00001-000008-090.tif","4164092316","","image/tiff"
"12800-00001-000008-100.tif","2164092325","","image/tiff"
"12800-00001-000008-110.tif","0164092334","","image/tiff"
"12800-00001-000008-120.tif","6164138214","","image/tiff"
"12800-00001-000008-130.tif","8164092343","","image/tiff"
"12800-00001-000008-140.tif","5164092352","","image/tiff"
"12800-00001-000009-010.tif","3164092361","","image/tiff"
"12800-00001-000009-020.tif","1164092370","","image/tiff"
"12800-00001-000009-030.tif","9164092389","","image/tiff"
"12800-00001-000009-040.tif","7164092398","","image/tiff"
"12800-00001-000009-050.tif","5164092405","","image/tiff"
"12800-00001-000009-060.tif","3164092414","","image/tiff"
"12800-00001-000009-070.tif","1164092423","","image/tiff"
"12800-00001-000009-080.tif","9164092432","","image/tiff"
"12800-00001-000009-100.tif","4164138223","","image/tiff"
"12800-00001-000009-130.tif","7164092441","","image/tiff"
"12800-00001-000009-140.tif","4164092450","","image/tiff"
"12800-00001-000010-010.tif","2164092469","","image/tiff"
"12800-00001-000010-020.tif","0164092478","","image/tiff"
"12800-00001-000010-030.tif","8164092487","","image/tiff"
"12800-00001-000010-040.tif","6164092496","","image/tiff"
"12800-00001-000010-050.tif","4164092502","","image/tiff"
"12800-00001-000010-060.tif","2164092511","","image/tiff"
"12800-00001-000010-070.tif","0164092520","","image/tiff"
"12800-00001-000010-080.tif","8164092539","","image/tiff"
"12800-00001-000010-090.tif","6164092548","","image/tiff"
"12800-00001-000010-100.tif","3164092557","","image/tiff"
"12800-00001-000010-110.tif","1164092566","","image/tiff"
"12800-00001-000010-120.tif","9164092575","","image/tiff"
"12800-00001-000010-130.tif","7164092584","","image/tiff"
"12800-00001-000011-010.tif","5164092593","","image/tiff"
"12800-00001-000011-020.tif","3164092600","","image/tiff"
"12800-00001-000011-030.tif","1164092619","","image/tiff"
"12800-00001-000011-040.tif","9164092628","","image/tiff"
"12800-00001-000011-050.tif","7164092637","","image/tiff"
"12800-00001-000011-060.tif","0164138241","","image/tiff"
"12800-00001-000011-070.tif","5164092646","","image/tiff"
"12800-00001-000011-080.tif","2164092655","","image/tiff"
"12800-00001-000011-090.tif","0164092664","","image/tiff"
"12800-00001-000011-100.tif","8164092673","","image/tiff"
"12800-00001-000011-110.tif","6164092682","","image/tiff"
"12800-00001-000011-120.tif","4164092691","","image/tiff"
"12800-00001-000011-130.tif","2164092708","","image/tiff"
"12800-00001-000011-140.tif","0164092717","","image/tiff"
"12800-00001-000011-150.tif","8164092726","","image/tiff"
"12800-00001-000011-160.tif","6164092735","","image/tiff"
"12800-00001-000011-170.tif","4164092744","","image/tiff"
"12800-00001-000011-180.tif","3164138278","","image/tiff"
"12800-00001-000011-190.tif","1164138287","","image/tiff"
"12800-00001-000012-010.tif","1164092753","","image/tiff"
"12800-00001-000012-020.tif","9164092762","","image/tiff"
"12800-00001-000012-030.tif","7164092771","","image/tiff"
"12800-00001-000012-040.tif","5164092780","","image/tiff"
"12800-00001-000012-050.tif","3164092799","","image/tiff"
"12800-00001-000012-060.tif","1164092806","","image/tiff"
"12800-00001-000012-070.tif","9164092815","","image/tiff"
"12800-00001-000012-080.tif","7164092824","","image/tiff"
"12800-00001-000012-090.tif","5164092833","","image/tiff"
"12800-00001-000012-100.tif","3164092842","","image/tiff"
"12800-00001-000012-110.tif","0164092851","","image/tiff"
"12800-00001-000012-120.tif","8164092860","","image/tiff"
"12800-00001-000012-130.tif","6164092879","","image/tiff"
"12800-00001-000012-140.tif","4164092888","","image/tiff"
"12800-00001-000012-150.tif","2164092897","","image/tiff"
"12800-00001-000013-010.tif","0164092904","","image/tiff"
"12800-00001-000013-020.tif","8164092913","","image/tiff"
"12800-00001-000013-030.tif","6164092922","","image/tiff"
"12800-00001-000013-040.tif","4164092931","","image/tiff"
"12800-00001-000013-050.tif","2164092940","","image/tiff"
"12800-00001-000013-060.tif","9164092959","","image/tiff"
"12800-00001-000013-070.tif","7164092968","","image/tiff"
"12800-00001-000013-080.tif","5164092977","","image/tiff"
"12800-00001-000013-090.tif","3164092986","","image/tiff"
"12800-00001-000013-100.tif","1164092995","","image/tiff"
"12800-00001-000013-110.tif","7164093002","","image/tiff"
"12800-00001-000013-120.tif","5164093011","","image/tiff"
"12800-00001-000013-130.tif","3164093020","","image/tiff"
"12800-00001-000013-140.tif","1164093039","","image/tiff"
"12800-00001-000014-010.tif","9164093048","","image/tiff"
"12800-00001-000014-020.tif","6164093057","","image/tiff"
"12800-00001-000014-030.tif","4164093066","","image/tiff"
"12800-00001-000014-040.tif","2164093075","","image/tiff"
"12800-00001-000014-050.tif","0164093084","","image/tiff"
"12800-00001-000014-060.tif","8164093093","","image/tiff"
"12800-00001-000014-070.tif","9164138296","","image/tiff"
"12800-00001-000014-080.tif","6164093100","","image/tiff"
"12800-00001-000014-090.tif","4164093119","","image/tiff"
"12800-00001-000014-100.tif","2164093128","","image/tiff"
"12800-00001-000014-110.tif","0164093137","","image/tiff"
"12800-00001-000014-120.tif","8164093146","","image/tiff"
